District,Category,Bathroom,Direction,House Status,Verification,Land Area (m2),Land Used Area (m2),Width (m),Alley Width (m),Price (bil),Price/m2 (mil),Floor,Have Mezzanine,Have Rooftop,Have Basement,Have Attic,Near Market,Near Hospital,Near Center,Near Frontage,Securities Space,Comfortable Space,Have Car Park,Larger Rear,Alley Surface,Urgent Sale
11,1,2.0,2,1,2,3.6136169696133895,4.293195420967266,1.5238800240724537,1.264126727145683,4.35,120.5,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1,2.0,3,1,2,3.449987545831587,4.05871738457895,1.589235205116581,0.8329091229351039,2.8,91.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1,3.0,3,1,2,3.975936331171799,4.977423159890142,1.5040773967762742,1.7613002617433464,6.5,124.3,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,1,1.0,3,2,2,4.14946386144318,4.446174454497633,1.5260563034950492,1.1118575154181303,4.5,72.1,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
11,1,2.0,4,1,2,3.708682081410116,4.547541073151455,1.6937790608678513,1.1969481893889715,4.4,110.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1,2.0,4,2,2,3.970291913552122,4.653960350157523,1.747459210331475,1.0986122886681098,5.7,109.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1,2.0,1,1,2,3.7471483622379123,4.23410650459726,1.5789787049493917,1.791759469228055,4.5,108.7,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,1,1.0,4,1,2,3.353406717825807,3.883623530906448,1.547562508716013,1.7595805708638197,2.7,97.8,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,1,2.0,1,3,2,4.138361447638875,4.66814498514948,1.4350845252893227,1.4586150226995167,6.8,110.2,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,1,1.0,3,2,2,4.316153890523174,4.489759334476764,1.840549633397487,1.3862943611198906,4.8,65.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,1,2.0,2,3,2,3.3463891451671604,3.9160150266976834,1.5665304114228238,1.3862943611198906,3.5,127.7,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1,3.0,2,1,2,3.380994674344636,4.724729421045731,1.5390154481375546,1.8718021769015913,4.3,151.4,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,1,3.0,1,2,2,4.027135812528651,5.093750200806762,1.667706820558076,1.791759469228055,6.8,123.4,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,1,3.0,2,1,2,3.751854253275325,4.980176086611547,1.5260563034950492,1.5933085305042167,5.5,132.2,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,1,2.0,2,3,2,3.903990833730882,4.58700621536042,1.6094379124341003,1.9671123567059163,4.75,97.7,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
11,1,2.0,1,1,2,3.3978584803966405,3.3978584803966405,1.547562508716013,1.6094379124341003,3.0,103.8,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,1,3.0,2,1,2,3.5610460826040513,3.5610460826040513,1.7833912195575383,1.5390154481375546,3.8,111.1,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,1,3.0,2,1,2,3.7773481021015445,4.9924713234685845,1.6094379124341003,1.6370530794670737,5.5,128.8,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,1,1.0,3,2,2,4.210645017918261,4.896346147694128,1.965712776351493,1.0986122886681098,6.5,97.9,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1,2.0,4,2,2,4.736198448394496,4.439115601658009,1.840549633397487,1.3862943611198906,6.0,53.1,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
